MSSubClass,LotArea,Street,LandContour,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,ExterQual,ExterCond,Foundation,BsmtCond,BsmtFinType1,TotalBsmtSF,Heating,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,GarageYrBlt,GarageCars,GarageArea,GarageCond,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Utilities_NoSeWa,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE
45,7449,1,0,9,7,7,1930,1950,13,3,4,PConc,TA,Unf,637,GasA,Y,FuseF,1108,0,1108,1,3,1,Gd,Typ,1,1930.0,1,280,TA,0,0,0,0,6,2007,WD,Normal,139400,False,False,False,False,False
20,9742,1,3,5,8,5,2002,2002,12,2,4,PConc,TA,Unf,1777,GasA,Y,SBrkr,1795,0,1795,2,3,1,Gd,Typ,1,2002.0,2,534,TA,0,0,0,0,9,2008,WD,Normal,230000,False,False,False,False,False
120,4224,1,3,10,5,7,1976,1976,5,3,4,PConc,TA,GLQ,1040,GasA,Y,SBrkr,1060,0,1060,1,3,1,TA,Typ,1,1976.0,2,572,TA,0,0,0,0,6,2007,WD,Normal,129900,False,False,False,False,True
20,8246,1,3,19,5,8,1968,2001,9,3,2,CBlock,TA,Rec,1060,GasA,Y,SBrkr,1060,0,1060,1,3,1,Gd,Typ,1,1968.0,1,270,TA,0,0,0,0,5,2010,WD,Normal,154000,False,False,False,False,False
20,14230,1,3,16,8,5,2007,2007,12,2,4,PConc,TA,Unf,1566,GasA,Y,SBrkr,1600,0,1600,2,3,1,Gd,Typ,1,2007.0,3,890,TA,0,0,0,0,7,2009,WD,Normal,256300,False,False,False,False,False
20,7200,1,3,12,5,7,1951,2000,13,3,4,CBlock,TA,BLQ,900,GasA,Y,SBrkr,900,0,900,1,3,1,Gd,Typ,0,2005.0,2,576,TA,0,0,0,0,5,2010,WD,Normal,134800,False,False,False,False,False
20,11478,1,3,16,8,5,2007,2008,12,2,4,PConc,TA,GLQ,1704,GasA,Y,SBrkr,1704,0,1704,2,3,1,Gd,Typ,1,2008.0,3,772,TA,0,0,0,0,5,2010,WD,Normal,306000,False,False,False,False,False
20,16321,1,3,12,5,6,1957,1997,8,3,4,CBlock,TA,BLQ,1484,GasA,Y,SBrkr,1600,0,1600,1,2,1,TA,Typ,2,1957.0,1,319,TA,0,0,0,0,12,2006,WD,Normal,207500,False,False,False,False,False
30,6324,1,3,3,4,6,1927,1950,8,3,4,BrkTil,TA,Unf,520,GasA,N,SBrkr,520,0,520,1,1,1,Fa,Typ,0,1920.0,1,240,TA,0,0,0,0,5,2008,WD,Normal,68500,False,False,False,False,False
70,8500,1,3,9,4,4,1920,1950,3,3,1,BrkTil,TA,Unf,649,GasA,N,SBrkr,649,668,1317,1,3,1,TA,Typ,0,1920.0,1,250,Fa,0,0,0,0,7,2008,WD,Normal,40000,False,False,False,False,False
20,8544,1,3,19,5,6,1966,2006,6,3,4,CBlock,TA,Unf,1228,GasA,Y,SBrkr,1228,0,1228,1,3,1,Gd,Typ,0,1966.0,1,271,TA,0,0,0,0,6,2008,WD,Normal,149350,False,False,False,False,False
20,11049,1,3,5,8,5,2007,2007,12,2,4,PConc,TA,Unf,1234,GasA,Y,SBrkr,1234,0,1234,2,3,1,Gd,Typ,0,2007.0,2,484,TA,0,0,0,0,1,2008,WD,Normal,179900,False,False,False,False,False
20,10552,1,3,12,5,5,1959,1959,3,3,4,CBlock,TA,Rec,1398,GasA,Y,SBrkr,1700,0,1700,1,4,1,Gd,Typ,1,1959.0,2,447,TA,0,0,0,0,4,2010,WD,Normal,165500,False,False,False,False,False
120,7313,1,3,16,9,5,2005,2005,8,0,4,PConc,TA,GLQ,1561,GasA,Y,SBrkr,1561,0,1561,2,2,1,Ex,Typ,1,2005.0,2,556,TA,0,0,0,0,8,2007,WD,Normal,277500,False,False,False,False,True
60,13418,1,3,16,8,5,2004,2005,12,2,4,PConc,TA,Unf,1117,GasA,Y,SBrkr,1132,1320,2452,3,4,1,Gd,Typ,1,2004.0,3,691,TA,0,0,0,0,9,2006,WD,Normal,309000,False,False,False,False,False
20,10859,1,3,5,5,5,1994,1995,12,3,4,PConc,TA,Unf,1097,GasA,Y,SBrkr,1097,0,1097,1,3,1,TA,Typ,0,1995.0,2,672,TA,0,0,0,0,6,2009,WD,Normal,145000,False,False,False,False,False
20,8532,1,3,12,5,6,1954,1990,13,3,4,CBlock,TA,Rec,1297,GasA,Y,SBrkr,1297,0,1297,1,3,1,TA,Typ,1,1954.0,2,498,TA,0,0,0,0,10,2009,WD,Normal,153000,False,False,False,False,False
20,7922,1,3,12,5,7,1953,2007,12,3,2,CBlock,TA,GLQ,1057,GasA,Y,SBrkr,1057,0,1057,1,3,1,Gd,Typ,0,1953.0,1,246,TA,0,0,0,0,1,2010,WD,Abnorml,109000,False,False,False,False,False
90,6040,1,3,7,4,5,1955,1955,0,3,4,PConc,TA,Unf,0,GasA,N,FuseP,1152,0,1152,2,2,2,Fa,Typ,0,1980.0,0,0,TA,0,0,0,0,6,2008,WD,AdjLand,82000,False,False,True,False,False
20,8658,1,3,12,6,5,1965,1965,13,3,4,CBlock,TA,Rec,1088,GasA,Y,SBrkr,1324,0,1324,2,3,1,TA,Typ,1,1965.0,2,440,TA,0,0,0,0,12,2006,WD,Abnorml,160000,False,False,False,False,False
20,16905,1,3,23,5,6,1959,1959,12,3,2,CBlock,TA,BLQ,1350,GasA,Y,SBrkr,1328,0,1328,1,2,1,TA,Typ,2,1959.0,1,308,TA,0,0,0,0,7,2007,WD,Normal,170000,False,False,False,False,False
85,9180,1,3,20,5,7,1983,1983,6,3,4,CBlock,TA,ALQ,840,GasA,Y,SBrkr,884,0,884,1,2,1,Gd,Typ,0,1983.0,2,504,Gd,0,0,0,0,12,2007,WD,Normal,144000,False,False,False,False,False
20,9200,1,3,5,5,6,1975,1980,12,3,4,CBlock,TA,LwQ,938,GasA,Y,SBrkr,938,0,938,1,3,1,TA,Typ,0,1977.0,1,308,TA,0,0,0,0,7,2008,WD,Normal,130250,False,False,False,False,False
20,7945,1,3,12,5,6,1959,1959,3,3,4,CBlock,TA,ALQ,1150,GasA,Y,FuseA,1150,0,1150,1,3,1,TA,Typ,0,1959.0,1,300,TA,0,0,0,0,5,2006,WD,Normal,141000,False,False,False,False,False
120,7658,1,3,16,9,5,2005,2005,8,0,4,PConc,TA,GLQ,1752,GasA,Y,SBrkr,1752,0,1752,2,2,1,Ex,Typ,1,2005.0,2,576,TA,0,0,0,0,2,2010,WD,Normal,319900,False,False,False,False,True
50,12822,1,3,11,7,5,2003,2003,12,2,4,PConc,TA,GLQ,1434,GasA,Y,SBrkr,1518,631,2149,1,1,1,Gd,Typ,1,2003.0,2,670,TA,0,198,0,0,8,2009,WD,Abnorml,239686,False,False,False,False,False
20,11096,1,3,21,8,5,2006,2006,12,2,4,PConc,TA,GLQ,1656,GasA,Y,SBrkr,1656,0,1656,2,3,1,Gd,Typ,0,2006.0,3,826,TA,0,0,0,0,7,2007,WD,Normal,249700,False,False,False,False,False
190,4456,1,3,17,4,5,1920,2008,8,3,4,BrkTil,TA,Unf,736,GasA,Y,SBrkr,736,716,1452,2,2,3,TA,Typ,0,1980.0,0,0,TA,0,0,0,0,6,2009,New,Partial,113000,False,True,False,False,False
20,7742,1,3,19,5,7,1966,1966,6,3,4,CBlock,TA,BLQ,955,GasA,Y,SBrkr,955,0,955,1,3,1,TA,Typ,0,1966.0,1,386,TA,0,0,0,0,1,2007,WD,Normal,127000,False,False,False,False,False
60,13869,1,3,8,6,6,1997,1997,12,3,4,PConc,TA,GLQ,794,GasA,Y,SBrkr,794,676,1470,2,3,1,TA,Typ,0,1997.0,2,388,TA,0,0,0,0,7,2007,WD,Normal,177000,False,False,False,False,False
50,6240,1,3,3,6,6,1934,1950,13,3,4,PConc,TA,Unf,816,GasA,Y,SBrkr,816,0,1176,1,3,1,TA,Typ,1,1985.0,2,528,TA,0,0,0,400,9,2006,WD,Normal,114500,False,False,False,False,False
90,8472,0,0,9,5,5,1963,1963,13,1,4,CBlock,TA,LwQ,816,GasA,N,SBrkr,816,0,816,1,2,1,TA,Typ,0,1963.0,2,516,TA,0,0,0,0,5,2010,WD,Normal,110000,False,False,True,False,False
20,50271,1,2,24,9,5,1981,1987,14,2,4,CBlock,TA,GLQ,1842,GasA,Y,SBrkr,1842,0,1842,0,0,1,Gd,Typ,1,1981.0,3,894,TA,0,0,0,0,11,2006,WD,Normal,385000,False,False,False,False,False
80,7134,1,0,12,5,5,1955,1955,8,3,4,CBlock,TA,ALQ,384,GasA,Y,SBrkr,1360,0,1360,1,3,1,TA,Min1,1,1962.0,2,572,TA,0,0,0,0,2,2007,WD,Normal,130000,False,False,False,False,False
20,10175,1,3,12,6,5,1964,1964,6,3,4,CBlock,TA,BLQ,1425,GasA,Y,SBrkr,1425,0,1425,2,3,1,TA,Typ,1,1964.0,2,576,TA,407,0,0,0,7,2008,WD,Normal,180500,False,False,False,False,False
160,2645,1,3,21,8,5,1999,2000,8,2,4,PConc,TA,GLQ,970,GasA,Y,SBrkr,983,756,1739,2,3,1,Gd,Typ,0,1999.0,2,480,TA,0,0,0,0,8,2009,WD,Abnorml,172500,False,False,False,True,False
60,11645,1,3,5,7,5,2004,2004,12,2,4,PConc,TA,Unf,860,GasA,Y,SBrkr,860,860,1720,2,3,1,Gd,Typ,0,2004.0,2,565,TA,0,0,0,0,8,2006,WD,Normal,196500,False,False,False,False,False
60,13682,1,1,22,10,5,2006,2006,12,0,4,PConc,TA,Unf,1410,GasA,Y,SBrkr,1426,1519,2945,3,3,1,Gd,Typ,1,2006.0,3,641,TA,0,0,0,0,10,2006,New,Partial,438780,False,False,False,False,False
20,7200,1,0,5,5,7,1972,1972,6,3,4,CBlock,TA,ALQ,780,GasA,Y,SBrkr,780,0,780,1,2,1,TA,Typ,0,1973.0,1,352,TA,0,0,0,0,1,2008,WD,Normal,124900,False,False,False,False,False
20,13072,1,3,20,6,5,2004,2004,12,3,4,PConc,TA,ALQ,1158,GasA,Y,SBrkr,1158,0,1158,1,3,1,Gd,Typ,0,2006.0,2,576,TA,0,0,0,0,5,2006,New,Partial,158000,False,False,False,False,False
75,7200,1,3,9,5,7,1920,1996,8,3,4,BrkTil,Fa,Unf,530,GasA,N,SBrkr,581,530,1111,1,3,1,Fa,Typ,0,1935.0,1,288,TA,0,0,0,0,3,2007,WD,Normal,101000,False,False,False,False,False
120,6442,1,3,16,8,5,2006,2006,12,2,4,PConc,Gd,GLQ,1370,GasA,Y,SBrkr,1370,0,1370,2,2,1,Gd,Typ,1,2006.0,2,484,TA,0,0,0,0,10,2007,WD,Normal,202500,False,False,False,False,True
70,10300,1,0,17,7,6,1921,1950,11,3,4,BrkTil,TA,Unf,576,GasA,Y,SBrkr,902,808,1710,2,3,1,TA,Typ,0,1990.0,2,480,TA,0,0,0,0,4,2010,WD,Normal,140000,False,False,False,False,False
60,9375,1,3,5,7,5,1997,1998,12,3,4,PConc,TA,GLQ,1057,GasA,Y,SBrkr,1057,977,2034,2,3,1,Gd,Typ,0,1998.0,2,645,TA,0,0,0,0,2,2009,WD,Normal,219500,False,False,False,False,False
60,9591,1,3,16,8,5,2004,2005,12,2,4,PConc,TA,Unf,1143,GasA,Y,SBrkr,1143,1330,2473,2,4,1,Gd,Typ,1,2004.0,3,852,TA,0,0,0,0,10,2007,WD,Normal,317000,False,False,False,False,False
20,19900,1,3,12,7,5,1970,1989,9,3,4,CBlock,TA,GLQ,1947,GasA,Y,SBrkr,2207,0,2207,2,3,1,TA,Min1,1,1970.0,2,576,TA,0,0,0,0,7,2010,WD,Normal,180000,False,False,False,False,False
20,10665,1,3,5,7,5,2003,2003,12,2,4,PConc,TA,GLQ,1453,GasA,Y,SBrkr,1479,0,1479,2,3,1,Gd,Typ,0,2003.0,2,558,TA,0,0,0,0,6,2007,WD,Normal,226000,False,False,False,False,False
30,4608,1,3,17,4,6,1945,1950,8,3,2,CBlock,TA,Unf,747,GasA,Y,SBrkr,747,0,747,1,2,1,TA,Typ,0,1945.0,1,220,TA,0,0,0,0,6,2010,WD,Normal,80000,False,False,False,False,False
50,15593,1,3,4,7,4,1953,1953,3,2,4,CBlock,TA,BLQ,1304,GasW,Y,SBrkr,1304,983,2287,2,3,1,TA,Typ,1,1953.0,2,667,TA,0,0,0,0,7,2006,WD,Normal,225000,False,False,False,False,False
20,13651,1,3,12,7,6,1973,1973,9,3,2,CBlock,TA,ALQ,2223,GasA,Y,SBrkr,2223,0,2223,2,3,1,TA,Typ,2,1973.0,2,516,TA,0,0,0,0,2,2007,WD,Normal,244000,False,False,False,False,False
20,7599,1,3,11,4,6,1982,2006,6,3,4,CBlock,TA,ALQ,845,GasA,Y,SBrkr,845,0,845,1,2,1,TA,Typ,0,1987.0,2,360,TA,0,0,0,0,6,2007,WD,Normal,129500,False,False,False,False,False
60,10141,1,3,8,7,5,1998,1998,12,3,4,PConc,TA,Unf,832,GasA,Y,SBrkr,885,833,1718,2,3,1,TA,Typ,1,1998.0,2,427,TA,0,291,0,0,12,2009,WD,Normal,185000,False,False,False,False,False
20,10200,1,3,12,5,7,1954,2003,13,3,4,CBlock,TA,ALQ,1086,GasA,Y,SBrkr,1086,0,1086,1,3,1,TA,Typ,0,1989.0,2,490,TA,0,0,0,0,5,2010,WD,Normal,144900,False,False,False,False,False
50,5790,1,3,17,3,6,1915,1950,12,2,2,CBlock,TA,Unf,840,GasA,N,SBrkr,840,765,1605,2,3,2,TA,Typ,0,1915.0,1,379,TA,0,0,0,0,5,2010,WD,Normal,107400,False,False,False,False,False
180,1596,1,3,10,4,5,1973,1973,5,3,4,CBlock,TA,GLQ,462,GasA,Y,SBrkr,526,462,988,1,2,1,TA,Typ,0,1973.0,1,297,TA,0,0,0,0,11,2009,WD,Normal,91000,False,False,False,True,False
20,8475,1,3,12,4,7,1956,1956,12,3,4,CBlock,TA,ALQ,952,GasA,Y,FuseA,952,0,952,1,2,1,TA,Typ,0,1956.0,1,283,TA,0,0,0,0,4,2008,WD,Normal,135750,False,False,False,False,False
50,8635,1,3,3,5,5,1948,2001,13,3,4,CBlock,TA,BLQ,672,GasA,Y,SBrkr,1072,213,1285,1,2,1,TA,Min1,0,1948.0,1,240,TA,0,0,0,0,1,2008,WD,Normal,127000,False,False,False,False,False
90,10778,1,3,19,4,5,1968,1968,6,3,4,CBlock,TA,Unf,1768,GasA,N,SBrkr,1768,0,1768,2,4,2,TA,Typ,0,1980.0,0,0,TA,0,0,0,0,4,2010,WD,Normal,136500,False,False,True,False,False
50,10440,1,3,17,5,6,1910,1981,13,3,4,PConc,TA,Unf,440,GasA,Y,SBrkr,682,548,1230,1,2,1,TA,Typ,0,1966.0,2,440,TA,0,0,0,0,5,2009,WD,Normal,110000,False,False,False,False,False
60,13000,1,3,12,6,6,1968,1968,12,3,2,CBlock,TA,Rec,896,GasA,Y,SBrkr,1182,960,2142,2,4,1,Gd,Typ,1,1968.0,1,509,TA,0,252,0,0,6,2009,WD,Normal,193500,False,False,False,False,False
120,4500,1,3,11,6,5,1998,1998,12,3,2,PConc,Gd,GLQ,1237,GasA,Y,SBrkr,1337,0,1337,2,2,1,TA,Typ,0,1998.0,2,405,TA,0,0,0,0,3,2006,WD,Normal,153500,False,False,False,False,True
20,10206,1,3,21,8,5,2007,2007,12,3,4,PConc,TA,GLQ,1563,GasA,Y,SBrkr,1563,0,1563,2,3,1,Gd,Typ,1,2007.0,3,758,TA,0,0,0,0,10,2008,WD,Normal,245000,False,False,False,False,False
20,8892,1,3,12,5,5,1960,1960,8,3,4,CBlock,TA,Unf,1065,GasA,Y,SBrkr,1065,0,1065,1,3,1,TA,Typ,0,1974.0,2,461,TA,0,0,0,0,7,2007,COD,Normal,126500,False,False,False,False,False
80,8530,1,3,8,7,5,1995,1996,6,3,4,PConc,TA,Unf,384,GasA,Y,SBrkr,804,670,1474,2,3,1,TA,Typ,1,1995.0,2,400,TA,0,0,0,700,5,2009,WD,Normal,168500,False,False,False,False,False
60,16059,1,3,15,8,5,1991,1992,6,2,4,CBlock,TA,Unf,1288,GasA,Y,SBrkr,1301,1116,2417,2,4,1,Gd,Typ,1,1991.0,2,462,TA,0,0,0,0,4,2006,WD,Normal,260000,False,False,False,False,False
60,11911,1,3,8,6,5,2005,2005,12,2,4,PConc,TA,Unf,684,GasA,Y,SBrkr,684,876,1560,2,3,1,Gd,Typ,1,2005.0,2,400,TA,0,0,0,0,3,2009,WD,Normal,174000,False,False,False,False,False
160,3951,1,3,21,6,5,2009,2009,12,2,4,PConc,TA,Unf,612,GasA,Y,SBrkr,612,612,1224,2,2,1,Gd,Typ,0,2009.0,2,528,TA,0,0,0,0,6,2009,New,Partial,164500,False,False,False,False,True
50,8470,1,3,9,3,2,1915,1982,9,1,1,CBlock,Fa,Unf,1013,GasA,N,SBrkr,1013,0,1526,1,2,1,Fa,Typ,0,1980.0,0,0,TA,0,0,0,0,10,2009,ConLD,Abnorml,85000,False,False,False,False,False
20,8070,1,3,5,4,5,1994,1995,12,3,4,PConc,TA,GLQ,990,GasA,Y,SBrkr,990,0,990,1,3,1,TA,Typ,0,1980.0,0,0,TA,0,0,0,0,8,2007,WD,Normal,123600,False,False,False,False,False
20,7200,1,3,12,4,5,1950,1950,3,3,4,Slab,TA,Unf,0,GasA,Y,FuseA,1040,0,1040,1,2,1,TA,Typ,0,1950.0,2,420,TA,0,0,0,0,7,2006,WD,Normal,109900,False,False,False,False,False
20,8500,1,3,12,5,3,1961,1961,6,3,4,CBlock,TA,Rec,1235,GasA,Y,SBrkr,1235,0,1235,1,2,1,TA,Typ,0,1961.0,2,480,TA,0,0,0,0,12,2006,WD,Abnorml,98600,False,False,False,False,False
30,13360,1,1,6,5,7,1921,2006,13,3,2,BrkTil,TA,ALQ,876,GasA,Y,SBrkr,964,0,964,1,2,1,TA,Typ,0,1921.0,2,432,TA,0,0,0,0,8,2009,WD,Normal,163500,False,False,False,False,False
190,7200,1,3,17,6,6,1910,1998,8,3,4,BrkTil,Fa,Rec,1214,GasW,N,SBrkr,1260,1031,2291,2,4,2,TA,Typ,1,1900.0,2,506,TA,0,99,0,0,11,2007,WD,Normal,133900,False,True,False,False,False
60,9337,1,3,5,6,5,1997,1997,12,3,2,PConc,TA,GLQ,824,GasA,Y,SBrkr,905,881,1786,2,3,1,Gd,Typ,0,1997.0,2,684,TA,0,0,0,0,5,2007,WD,Normal,204750,False,False,False,False,False
60,9765,1,3,8,6,8,1993,1993,12,0,2,PConc,Gd,ALQ,680,GasA,Y,SBrkr,680,790,1470,2,3,1,TA,Typ,1,1993.0,2,420,TA,0,0,0,480,4,2009,WD,Normal,185000,False,False,False,False,False
20,10264,1,3,5,7,5,1999,1999,12,2,4,PConc,TA,ALQ,1588,GasA,Y,SBrkr,1588,0,1588,2,3,1,Gd,Typ,0,1999.0,2,472,TA,0,0,0,0,8,2006,WD,Normal,214000,False,False,False,False,False
20,10921,1,1,7,4,5,1965,1965,6,3,4,CBlock,TA,Rec,960,GasA,Y,FuseF,960,0,960,1,3,1,TA,Typ,0,1965.0,1,432,TA,0,0,0,0,5,2007,WD,Normal,94750,False,False,False,False,False
30,10625,1,3,7,5,5,1920,1950,13,3,4,BrkTil,TA,ALQ,458,GasA,N,SBrkr,835,0,835,1,2,1,TA,Typ,0,1920.0,1,366,TA,0,0,0,400,5,2010,COD,Abnorml,83000,False,False,False,False,False
20,9320,1,3,12,4,5,1959,1959,9,3,4,CBlock,TA,ALQ,950,GasA,Y,SBrkr,1225,0,1225,1,3,1,TA,Typ,0,1980.0,0,0,TA,0,0,0,400,1,2010,WD,Normal,128950,False,False,False,False,False
20,10603,1,3,14,6,7,1977,2001,9,3,4,PConc,TA,ALQ,1610,GasA,Y,SBrkr,1610,0,1610,2,3,1,Gd,Typ,2,1977.0,2,480,TA,0,0,0,0,2,2010,WD,Normal,205000,False,False,False,False,False
60,9206,1,3,20,6,5,1985,1985,6,2,4,CBlock,TA,Unf,741,GasA,Y,SBrkr,977,755,1732,2,3,1,Gd,Typ,1,1985.0,2,476,TA,0,0,0,0,6,2010,WD,Normal,178000,False,False,False,False,False
90,7018,1,0,20,5,5,1979,1979,6,3,1,Slab,TA,Unf,0,GasA,Y,SBrkr,1535,0,1535,2,4,2,TA,Typ,0,1979.0,2,410,TA,0,0,0,0,6,2009,WD,Alloca,118964,False,False,True,False,False
20,10402,1,3,5,7,5,2009,2009,12,3,4,PConc,TA,Unf,1226,GasA,Y,SBrkr,1226,0,1226,2,3,1,Gd,Typ,0,2009.0,3,740,TA,0,0,0,0,5,2010,WD,Normal,198900,False,False,False,False,False
50,7758,1,3,9,7,4,1931,1950,11,3,1,PConc,TA,LwQ,1040,GasA,Y,FuseF,1226,592,1818,1,4,1,TA,Typ,2,1951.0,1,240,TA,0,184,0,0,6,2007,WD,Normal,169500,False,False,False,False,False
60,9375,1,3,21,8,5,2003,2004,12,2,4,PConc,TA,Unf,1053,GasA,Y,SBrkr,1053,939,1992,2,3,1,Gd,Typ,1,2003.0,2,648,TA,0,0,0,0,8,2008,WD,Normal,250000,False,False,False,False,False
30,10800,1,3,17,4,7,1885,1995,12,3,4,BrkTil,TA,Unf,641,GasA,Y,SBrkr,1047,0,1047,1,2,1,TA,Typ,0,1954.0,1,273,Fa,0,0,0,450,8,2007,WD,Normal,100000,False,False,False,False,False
20,6000,1,3,17,5,5,1948,1950,12,3,4,CBlock,TA,ALQ,789,GasA,Y,SBrkr,789,0,789,1,2,1,TA,Typ,0,1948.0,1,250,TA,0,0,0,0,4,2008,WD,Partial,115000,False,False,False,False,False
